Game,Year,Genre,Publisher, Copies Sold  (Millions) North America, Copies Sold  (Millions) Europe, Copies Sold  (Millions) Japan, Copies Sold  (Millions) Rest of countries, Copies Sold  (Millions) Global,plataforma
LEGO Dimensions,2015.0,Action,Warner Bros. Interactive Entertainment,0.48,0.5,0.0,0.2,1.18,PlayStation 4
LEGO Jurassic World,2015.0,Action,Warner Bros. Interactive Entertainment,0.41,0.56,0.02,0.19,1.18,PlayStation 4
WWE 2K15,2014.0,Sports,2K Sports,0.4,0.57,0.0,0.19,1.16,PlayStation 4
MLB The Show 17,2017.0,Sports,Sony Interactive Entertainment,0.94,0.0,0.0,0.22,1.16,PlayStation 4
LEGO Worlds,2017.0,Misc,Warner Bros. Interactive Entertainment,0.21,0.72,0.04,0.17,1.14,PlayStation 4
The Elder Scrolls V: Skyrim PSVR,2017.0,Role-Playing,Bethesda Softworks,0.47,0.47,0.01,0.19,1.13,PlayStation 4
LEGO Marvel Super Heroes 2,2017.0,Action,Warner Bros. Interactive Entertainment,0.33,0.6,0.0,0.18,1.11,PlayStation 4
EA Sports UFC,2014.0,Fighting,Electronic Arts,0.49,0.43,0.01,0.18,1.11,PlayStation 4
Final Fantasy XII: The Zodiac Age,2017.0,Role-Playing,Square Enix,0.37,0.41,0.16,0.15,1.1,PlayStation 4
Alien: Isolation,2014.0,Adventure,Sega,0.29,0.59,0.05,0.16,1.09,PlayStation 4
MLB The Show 18,2018.0,Sports,Sony Interactive Entertainment,0.86,0.0,0.0,0.2,1.06,PlayStation 4
The Evil Within II,2017.0,Action,Bethesda Softworks,0.31,0.49,0.09,0.15,1.05,PlayStation 4
Prey (2017),2017.0,Shooter,Bethesda Softworks,0.25,0.62,0.02,0.16,1.04,PlayStation 4
Final Fantasy Type-0,2015.0,Role-Playing,Square Enix,0.4,0.33,0.16,0.15,1.04,PlayStation 4
Ni-Oh,2017.0,Action,Tecmo Koei,0.34,0.36,0.2,0.14,1.03,PlayStation 4
MLB 15: The Show,2015.0,Sports,Sony Computer Entertainment,0.75,0.08,0.0,0.19,1.01,PlayStation 4
Steep,2016.0,Sports,Ubisoft,0.23,0.6,0.02,0.15,1.01,PlayStation 4
LEGO Marvel's Avengers,2016.0,Action,Warner Bros. Interactive Entertainment,0.31,0.53,0.01,0.16,1.01,PlayStation 4
Evolve,2015.0,Shooter,2K Games,0.38,0.41,0.05,0.16,1.01,PlayStation 4
Injustice: Gods Among Us,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.46,0.35,0.0,0.17,0.98,PlayStation 4
EA Sports UFC 3,2018.0,Sports,EA Sports,0.4,0.41,0.01,0.16,0.97,PlayStation 4
Madden NFL 25,2013.0,Sports,EA Sports,0.64,0.15,0.0,0.17,0.96,PlayStation 4
MLB 16: The Show,2016.0,Sports,Sony Computer Entertainment,0.78,0.0,0.0,0.18,0.96,PlayStation 4
Lego Batman 3: Beyond Gotham,2014.0,Action,Warner Bros. Interactive Entertainment,0.37,0.42,0.0,0.16,0.94,PlayStation 4
Final Fantasy X/X-2 HD Remaster,2015.0,Role-Playing,Square Enix,0.34,0.36,0.07,0.14,0.9,PlayStation 4
Ni no Kuni II: Revenant Kingdom,2018.0,Role-Playing,Namco Bandai Games,0.33,0.31,0.12,0.13,0.89,PlayStation 4
God of War III,2015.0,Action,Sony Computer Entertainment,0.4,0.33,0.02,0.15,0.89,PlayStation 4
Fortnite,2017.0,Action,Gearbox Software,0.42,0.32,0.0,0.15,0.89,PlayStation 4
LEGO Harry Potter Collection,2016.0,Action,Warner Bros. Interactive Entertainment,0.07,0.68,0.0,0.13,0.88,PlayStation 4
Minecraft: Story Mode,2015.0,Adventure,Mojang,0.31,0.42,0.0,0.14,0.87,PlayStation 4
BioShock The Collection,2016.0,Shooter,2K Games,0.41,0.28,0.03,0.14,0.86,PlayStation 4
Thief 4,2014.0,Action,Square Enix,0.28,0.41,0.03,0.13,0.85,PlayStation 4
Until Dawn: Rush of Blood,2016.0,Shooter,Sony Interactive Entertainment,0.5,0.21,0.0,0.15,0.85,PlayStation 4
Disney Infinity 3.0,2015.0,Action,Disney Interactive Studios,0.31,0.4,0.0,0.14,0.85,PlayStation 4
Farming Simulator 17,2016.0,Simulation,Focus Home Interactive,0.19,0.52,0.01,0.13,0.85,PlayStation 4
The Crew 2,2018.0,Racing,Ubisoft,0.22,0.42,0.05,0.12,0.82,PlayStation 4
Pro Evolution Soccer 2016,2015.0,Sports,Konami Digital Entertainment,0.14,0.43,0.14,0.1,0.82,PlayStation 4
ARK: Survival Evolved,2017.0,Action,Studio Wildcard,0.28,0.29,0.14,0.11,0.81,PlayStation 4
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015.0,Action,Square Enix,0.21,0.14,0.39,0.07,0.81,PlayStation 4
Assassin's Creed The Ezio Collection,2016.0,Action,Ubisoft,0.14,0.52,0.02,0.12,0.79,PlayStation 4
Final Fantasy XIV: A Realm Reborn,2014.0,MMO,Square Enix,0.35,0.23,0.08,0.12,0.79,PlayStation 4
Destiny: The Collection,2016.0,Shooter,Activision,0.24,0.4,0.02,0.12,0.78,PlayStation 4
F1 2016 (Codemasters),2016.0,Racing,Codemasters,0.07,0.56,0.03,0.11,0.78,PlayStation 4
Hitman (2016),2017.0,Action,Square Enix,0.24,0.36,0.06,0.11,0.78,PlayStation 4
Pro Evolution Soccer 2015,2014.0,Sports,Konami Digital Entertainment,0.09,0.45,0.12,0.1,0.76,PlayStation 4
LEGO City Undercover,2017.0,Platform,Warner Bros. Interactive Entertainment,0.17,0.46,0.01,0.12,0.75,PlayStation 4
Pro Evolution Soccer 2018,2017.0,Sports,Konami Digital Entertainment,0.12,0.36,0.19,0.09,0.75,PlayStation 4
Disney Infinity 2.0: Marvel Super Heroes,2014.0,Action-Adventure,Disney Interactive Studios,0.37,0.25,0.0,0.13,0.75,PlayStation 4
Pro Evolution Soccer 2017,2016.0,Sports,Konami Digital Entertainment,0.08,0.41,0.18,0.09,0.75,PlayStation 4
Sniper Elite 3,2014.0,Shooter,505 Games,0.25,0.37,0.0,0.12,0.74,PlayStation 4
MLB 14 The Show,2014.0,Sports,Sony Computer Entertainment,0.59,0.0,0.0,0.14,0.73,PlayStation 4
WipEout Omega Collection,2017.0,Racing,Sony Interactive Entertainment,0.12,0.49,0.0,0.11,0.72,PlayStation 4
Deus Ex: Mankind Divided,2016.0,Role-Playing,Square Enix,0.25,0.34,0.01,0.12,0.72,PlayStation 4
The LEGO Movie Videogame,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.26,0.32,0.01,0.11,0.71,PlayStation 4
Marvel vs. Capcom: Infinite,2017.0,Fighting,Capcom,0.36,0.19,0.04,0.11,0.7,PlayStation 4
Dark Souls II,2015.0,Role-Playing,Namco Bandai Games,0.27,0.23,0.09,0.1,0.69,PlayStation 4
Yakuza 6,2016.0,Adventure,Sega,0.16,0.1,0.38,0.05,0.69,PlayStation 4
F1 2015,2015.0,Racing,Codemasters,0.1,0.45,0.04,0.1,0.68,PlayStation 4
METRO 2033,2014.0,Shooter,Deep Silver,0.22,0.31,0.05,0.1,0.68,PlayStation 4
Rocksmith 2014,2014.0,Music,Ubisoft,0.38,0.17,0.0,0.12,0.67,PlayStation 4
NHL 16,2015.0,Sports,EA Sports,0.38,0.16,0.0,0.12,0.66,PlayStation 4
Plants vs Zombies: Garden Warfare,2014.0,Shooter,Electronic Arts,0.24,0.3,0.01,0.11,0.66,PlayStation 4
Tales of Berseria,2016.0,Role-Playing,Namco Bandai Games,0.22,0.1,0.26,0.07,0.65,PlayStation 4
Yakuza Zero: The Place of Oath,2015.0,Adventure,Sega,0.22,0.16,0.19,0.08,0.65,PlayStation 4
One Piece: Burning Blood,2016.0,Fighting,Namco Bandai Games,0.21,0.26,0.09,0.09,0.65,PlayStation 4
Batman: Return to Arkham,2016.0,Action,Warner Bros. Interactive Entertainment,0.15,0.39,0.01,0.1,0.64,PlayStation 4
Plants vs. Zombies: Garden Warfare 2,2016.0,Shooter,Electronic Arts,0.22,0.31,0.0,0.1,0.63,PlayStation 4
LEGO The Hobbit,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.14,0.39,0.0,0.1,0.62,PlayStation 4
World of Final Fantasy,2016.0,Role-Playing,Square Enix,0.24,0.21,0.09,0.09,0.62,PlayStation 4
F1 2017,2017.0,Racing,Koch Media,0.04,0.47,0.02,0.09,0.62,PlayStation 4
NHL 15,2014.0,Sports,EA Sports,0.32,0.19,0.0,0.11,0.62,PlayStation 4
Knowledge is Power,2017.0,Party,Sony Interactive Entertainment,0.05,0.47,0.0,0.09,0.61,PlayStation 4
L.A. Noire,2017.0,Adventure,Rockstar Games,0.18,0.32,0.0,0.1,0.6,PlayStation 4
Hidden Agenda,2017.0,Adventure,Sony Interactive Entertainment,0.08,0.42,0.0,0.09,0.59,PlayStation 4
