Game,Year,Genre,Publisher, Copies Sold  (Millions) North America, Copies Sold  (Millions) Europe, Copies Sold  (Millions) Japan, Copies Sold  (Millions) Rest of countries, Copies Sold  (Millions) Global,plataforma
Teslagrad,2014.0,Platform,Rain Games,0.0,0.01,0.0,0.0,0.01,PlayStation 4
Darius Burst: Chronicle Saviours,2017.0,Action,Kadokawa Games,0.0,0.0,0.01,0.0,0.01,PlayStation 4
The Escapists: The Walking Dead,2016.0,Action,Team17 Software,0.0,0.0,0.0,0.0,0.01,PlayStation 4
Super Meat Boy,2016.0,Platform,Team Meat,0.0,0.0,0.0,0.0,0.01,PlayStation 4
Blood Bowl 2,2015.0,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Witness,2016.0,Misc,"Thekla, Inc.",0.0,0.0,0.0,0.0,0.0,PlayStation 4
Quantic Dream Collection,2015.0,Action,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Iwaihime: Matsuri,2017.0,Adventure,Nippon Ichi Software,0.0,0.0,0.0,0.0,0.0,PlayStation 4
RepKiss,2017.0,Adventure,Entergram,0.0,0.0,0.0,0.0,0.0,PlayStation 4
War Thunder,2017.0,Action,DMM Games,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Tsuihou Senkyo,2017.0,Adventure,Nippon Ichi Software,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Hustle Kings VR,2016.0,Sports,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Toki Tori 2+,2016.0,Puzzle,Two Tribes,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Deception IV: The Nightmare Princess,2015.0,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Kingdom Hearts HD I.5 + II.5 ReMIX,2017.0,Action,Square Enix,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Fushigi no Chronicle: Furikaerimasen Katsu Madewa,2015.0,Action,Spike Chunsoft,0.0,0.0,0.0,0.0,0.0,PlayStation 4
A Boy and His Blob,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Agatha Christie: The ABC Murders,2016.0,Adventure,Microids,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Ancients of Ooga - The Forgotten Chapters,2016.0,Platform,Koch Media,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Another World,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Ape Escape 2,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Bee Tap Extreme,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Blacklight: Retribution,2013.0,Misc,Perfect World Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Bladestorm: The Hundred Years' War,2015.0,Action,BioWare,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Brothers in Arms: Furious 4,2019.0,Shooter,Ubisoft,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Cel Damage,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Woolfe: The Red Hood Diaries,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Dark Cloud 2,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
DC Universe Online,2013.0,MMO,Sony Online Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Fez,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Guardian Knight,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Heavy Rain,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Industry Giant II,2017.0,Strategy,UIG Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
King's Quest I: Quest for the Crown (VGA Version),,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Kingdom Under Fire II,2014.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Ladybug Puzzle,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Maniac Mansion: Day of the Tentacle,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Metal Slug 3,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Mount & Blade: Warband,2016.0,Role-Playing,Taleworlds,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Pier Solar and the Great Architects,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Piggy Adventure,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
PlanetSide 2,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Psychonauts,2017.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Resident Evil 5,2016.0,Action,Capcom,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Sound Shapes,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Star Ocean: Till The End of Time,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Super Motherload,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Amazing Spider-Man 2,2014.0,Misc,Activision,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The King of Fighters 2000,,Fighting,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Rack N Ruin,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Ether One,2015.0,Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Uncharted 2: Among Thieves,2016.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Uncharted 3: Drake's Deception,2016.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Uncharted Waters Online: Gran Atlas,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Uncharted: Drake's Fortune,2016.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Werewolves vs Vampires,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Awesomenauts,2014.0,Misc,DTP Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Dust: An Elysian Tail,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Skullgirls,,Fighting,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
flower,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Gran Turismo HD Concept,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
PixelJunk Shooter,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
PixelJunk Shooter 2,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Rainbow Moon,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Dear Esther,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Oddworld: Abe's Oddysee New N' Tasty!,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Broken Age,2015.0,Adventure,Nordic Games,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Apotheon,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Two Brothers,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Slender: The Arrival,2015.0,Adventure,Unknown,0.0,0.0,0.0,0.0,0.0,PlayStation 4
deep down (Working Title),2020.0,Misc,Capcom,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Hotline Miami,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Unfinished Swan,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Human Element,2015.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Whore of the Orient,2020.0,Misc,Warner Bros. Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Cyberpunk 2077,2018.0,Action-Adventure,CD Projekt Red Studio,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Final Fantasy (PS4),2020.0,Misc,Square Enix,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Transistor,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Swapper,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Outlast,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Contrast,2013.0,Misc,Compulsion Games,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Guacamelee!,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Carmageddon: Reincarnation,2015.0,Misc,Stainless Games,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Rocketbirds 2: Evolution,2020.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Primal Carnage: Genesis,2020.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Doki-Doki Universe,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Hohokum,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
CounterSpy,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
War Thunder,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Warframe,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Banner Saga,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
BADLAND,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Sparkle 2,,Puzzle,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Daylight,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Peggle 2,,Puzzle,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Kingdom Hearts III,2019.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Mercenary Kings,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Secret Ponchos,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Octodad: Dadliest Catch,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Galak-Z,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Ray's the Dead,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Yaiba: Ninja Gaiden Z,2014.0,Misc,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,PlayStation 4
KickBeat,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Tiny Brains,,Puzzle,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Stick It to the Man,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Aban Hawkins & the 1001 Spikes,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Home - a Unique Horror Adventure,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Soul Saga,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Pinball Arcade,2013.0,Misc,FarSight Studios,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Toukiden: The Age of Demons,2014.0,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Reus,2016.0,Strategy,Soedesco,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Strider (2014),2014.0,Platform,Capcom,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Rogue Legacy,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
EverQuest Next,2019.0,MMO,Sony Online Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Project Phoenix,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Defense Grid 2,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Drifter: A Space Trading Game,,Simulation,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Volume,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Hellraid,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
SteamWorld Dig: A Fistful of Dirt,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Armikrog,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Chasm,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
XING: The Land Beyond,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
There Came an Echo,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Strike Suit Zero,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Basement Crawl,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Velocity 2X,2014.0,Action,Futurlab 1,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Helldivers,2015.0,Action,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
RESOGUN,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Everybody's Gone to the Rapture,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Murasaki Baby,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Hotline Miami 2: Wrong Number,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Shadow of the Beast (PS4),,Action-Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
WonderFlick,2014.0,Misc,Level 5,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Monochroma,2014.0,Misc,Nowhere Studios,0.0,0.0,0.0,0.0,0.0,PlayStation 4
H-Hour: World's Elite,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
SPORTSFRIENDS,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Unmechanical,,Puzzle,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Divekick,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Lily Bergamo,2014.0,Misc,GungHo,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Valiant Hearts: The Great War,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
OlliOlli,,Sports,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Switch Galaxy Ultra,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Anomaly 2,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Legend of Raven,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Stealth Inc.,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Night in the Woods,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Tales from the Borderlands,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Kodoku,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Get Even,2015.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Ready to Run,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Worms Battlegrounds,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Assassin's Creed Freedom Cry,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Dungeon Defenders II,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Razor Global Domination Pro Tour ,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Pavilion,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
forma.8,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
TowerFall,2014.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Gone Home ,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Costume Quest 2,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Pure Chess,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Aztez,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Not a Hero,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
SOMA (2015),2015.0,Misc,Frictional Games,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Cult County,2015.0,Misc,Renegade Kid,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Adr1ft,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
R.B.I. Baseball 14,2014.0,Misc,MLB.com,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Citizens of Earth,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
H1Z1,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Blue Estate ,2014.0,Misc,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Road Not Taken,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Source,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Backgammon Blitz,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Hitman GO,,Puzzle,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
MechRunner,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Chainsaw Incident,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Chariot,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Nidhogg,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Ironclad Tactics,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
MouseCraft,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Starwhal: Just the Tip,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Crimsonland,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
VizionEck,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Pure Pool ,2014.0,Misc,Triniti Interactive,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Without Memory,2016.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Firewatch,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Never Alone,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Last Tinker: City of Colors,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Bombshell,2014.0,Misc,3D Realms,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Red Goddess,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Forest,2015.0,Action,Endnight Games Ltd ,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Fenix Rage,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
EarthNight,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
One Way Trip,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Shiness: The Lightning Kingdom,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Aaru's Awakening,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Falling Skies: The Game ,2015.0,Role-Playing,Little Orbit,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Onigiri,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Loadout,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Entwined,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
EA Sports PGA Tour,2015.0,Sports,EA Sports,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Dead Island 2,2017.0,Action,Deep Silver,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Magicka 2,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Broforce,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Inside,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Blast 'Em Bunnies,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Woah Dave!,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Assembly,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Tetris Ultimate ,2014.0,Puzzle,Ubisoft,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Afro Samurai 2,2015.0,Action,Versus Evil,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Legend of Korra (2014),2014.0,Action,Activision,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Vanishing of Ethan Carter ,2015.0,Adventure,The Astronauts,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Godzilla (2014),2014.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Gran Turismo 7,2020.0,Racing,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Rollers of the Realm,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Q*bert: Rebooted,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
AirMech Arena,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Walking Dead: Season Three,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Toren,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Pneuma: Breath of Life,,Puzzle,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
#killallzombies,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Escapists,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Tomorrow Children,,Strategy,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Hollowpoint,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
In Space We Brawl,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Wild,2019.0,Adventure,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Alienation,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Ubusuna,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
PIX the CAT,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Game 4,,Strategy,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Titan Souls,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
OniKira: Demon Killer,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Moon Hunters,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Salt and Sanctuary,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Alone With You,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Tadeo Jones y el manuscrito perdido,2014.0,Adventure,Deep Silver,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Invokers Tournament,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
OlliOlli 2: Welcome to Olliwood,2016.0,Sports,PQube,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Pathologic,2015.0,Adventure,Ice-pick Lodge,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Soma,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Rebel Galaxy,2015.0,Role-Playing,Double Damage Games,0.0,0.0,0.0,0.0,0.0,PlayStation 4
I Am Bread,,Simulation,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Geometry Wars 3: Dimensions,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Primal Carnage: Extinction,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Assassin's Creed: Victory,2015.0,Action,Ubisoft,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Silent Hills,2020.0,Action,Konami Digital Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Banner Saga 2,,Role-Playing,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Enter the Gungeon,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
What Remains of Edith Finch,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Wattam,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Fat Princess Adventures,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Skytorn,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Kill Strain,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Drawn to Death,,Shooter,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Grow Home,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Apotheon,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Hunger,,Action-Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Magic Duels: Origin,,Misc,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Shiftlings,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Oceanhorn: Monster of Uncharted Seas,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Beyond Eyes,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Inside My Radio,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Tembo the Badass Elephant,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Assassin's Creed Chronicles: Russia,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Assassin's Creed Chronicles: India,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Overlord: Fellowship of Evil,2015.0,Action,Codemasters,0.0,0.0,0.0,0.0,0.0,PlayStation 4
R.B.I. Baseball 15,2015.0,Sports,MLB.com,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Krinkle Krusher,,Strategy,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Wander,2015.0,Role-Playing,Wander MMO,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Trans-Galactic Tournament,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The Walking Dead: Michonne,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Unravel,,Platform,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Tachyon Project,,Action,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Final Fantasy VII Remake,2019.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Ikenie to Yuki no Setsuna,2016.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Atelier Sophie,2020.0,Role-Playing,Gust,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Dengeki Bunko: Fighting Climax Ignition,2015.0,Action,Sega,0.0,0.0,0.0,0.0,0.0,PlayStation 4
World Soccer Winning Eleven 2015,2015.0,Action,Konami Digital Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Muse: Together Is the New Alone,,Adventure,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Cross Reverie,2017.0,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Airship Q,2019.0,Platform,Cygames,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Killing Bites,2016.0,Action,Unknown,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Hatsune Miku: Project Diva Future Tone,,Music,,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Tiny Troopers Joint Ops,2014.0,Action,Unknown,0.0,0.0,0.0,0.0,0.0,PlayStation 4
The London Heist,2016.0,Shooter,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Risen 3 Enhanced Edition,2015.0,Role-Playing,Deep Silver,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Air Conflicts: Pacific Carriers,2015.0,Simulation,Kalypso Media,0.0,0.0,0.0,0.0,0.0,PlayStation 4
God Wars: Beyond Time,2016.0,Role-Playing,Kadokawa Games,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Hasbro Family Fun Pack,2015.0,Misc,Ubisoft,0.0,0.0,0.0,0.0,0.0,PlayStation 4
Professional Lumberjack 2016,2015.0,Simulation,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,PlayStation 4
